51 50
52 50
53 50
54 50
55 50
56 50
57 50
58 50
59 49
60 49
61 49
62 48
63 47
64 46
65 45
66 44
67 43
67 42
67 41
68 40
68 39
68 38
68 37
68 36
68 35
68 34
68 33
68 32
67 31
68 30
68 29
69 28
69 27
69 26
68 25
68 24
67 24
66 23
65 23
64 23
63 24
62 24
61 25
61 24
61 23
61 22
61 21
60 20
60 19
59 18
58 17
57 17
56 16
55 16
54 16
53 16
52 16
51 17
50 17
49 18
48 19
48 20
47 21
47 22
47 23
47 24
47 25
46 24
45 24
44 23
43 23
42 23
41 24
40 24
40 25
39 26
39 27
39 28
40 29
40 30
41 31
40 32
40 33
40 34
40 35
40 36
40 37
40 38
40 39
40 40
41 41
41 42
41 43
42 44
43 45
44 46
45 47
46 48
47 49
48 49
49 49
50 50
